Address,LocationName
"7703 Floyd Curl Dr, San Antonio, TX 78229-3900",University of Texas Health Science San Antonio
"301 University Blvd, Galveston, TX 77555-0129",The University of Texas Medical Branch
"3801 Campus Dr, Waco, TX 76705",Texas State Technical College
"2500 N Robison Rd, Texarkana, TX 75599",Texarkana College
"955 University Blvd, Kingsville, TX 78363",Texas A&M University - Kingsville
"Texas A&M University, College Station, TX 77843",Texas A&M University
"701 S. Nedderman Dr., Arlington, TX 76013",The University of Texas at Arlington
"110 Inner Campus Drive, Austin, TX 78712",University of Texas at Austin
"800 West Campbell  Rd, Richardson, TX 75080",The University of Texas at Dallas
"500 W. University Ave, El Paso, TX 79968-0691",The University of Texas at El Paso
"3900 University Blvd, Tyler, TX 75799-6699",University of Texas at Tyler
"531 W JEFFERSON ST, DALLAS, TX 75208",TEXAS BARBER COLLEGE AND HAIRSTYLING SCHOOL 1
"5912 Spencer Hwy, Pasadena, TX 77505",Texas Chiropractic College
"2800 S University Dr, Fort Worth, TX 76129",Texas Christian University
"2404 N. Grand Avenue, Tyler, TX 75702",Texas College
"3500 Camp Bowie Blvd, Forth Worth, TX 76107",University of North Texas Health Science Center at Fort Worth
"1000 W. Court St, Seguin, TX 78155-5999",Texas Lutheran University
"4901 E University, Odessa, TX 79762-0001",The University of Texas of the Permian Basin
"One UTSA Circle, San Antonio, TX 78249-1130",The University of Texas at San Antonio
"711 East Airtex Drive, Houston, TX 77073",Brightwood College
"3100 Cleburne St, Houston, TX 77004",Texas Southern University
"80 Fort Brown, Brownsville, TX 78520",Texas Southmost College
"15th Street and Akron, P. O. Box 4219, MS 2019, Lubbock, TX 79409-5005",Texas Tech University
"1921 East Red River, Victoria, TX 77901",Texas Vocational Schools
"1201 Wesleyan St, Fort Worth, TX 76105-1536",Texas Wesleyan University
"304 Administration Dr, Denton, TX 76201",Texas Woman's University
"3910 Doniphan Drive, Suite C-E, El Paso, TX",Tri-State Cosmetology Institute
"One Trinity Place, San Antonio, TX 78212-7200",Trinity University
"7000 Fannin, Suite 1700, Houston, TX 77030",University of Texas Health Science Center Houston
"1902 North Loop 499, Harlingen, TX 78550-3697",Texas State Technical College - Harlingen
"300 Homer K. Taylor Drive, Sweetwater, TX 79556",Texas State Technical College - West Texas
"3601 4th Street, Room MS6264, Lubbock, TX 79430-8305",Texas Tech University Health Sciences Center
"P.O. Box 9020, 1327 South Baxter Street, Tyler, TX 75701",Tyler Junior College
"721 Lockhaven Dr, Houston, TX 77073",Universal Technical Institute of Texas Inc
"8401 North 10th Street, McAllen, TX 78504",University of Cosmetology Arts & Sciences - McAllen
"4400 College Dr, Vernon, TX 76384-4092",Vernon College
"1508 N Laurent St, Victoria, TX 77901-6233",Victoria Beauty College Inc
"2200 E Red River, Victoria, TX 77901",Victoria College
"3536 E Lancaster Avenue, Fort Worth, TX 76103",International Renowned Beauty Academy
"1900 W 7th St., Plainview, TX 79072",Wayland Baptist University
"225 College Park Drive, Weatherford, TX 76086-5699",Weatherford College
"2501 4th Ave, Canyon, TX 79016-0001",West Texas A&M University
"6200 College Ave, Snyder, TX 79549-9502",Western Texas College
"911 Boling Hwy, Wharton, TX 77488",Wharton County Junior College
"711 Wiley Ave, Marshall, TX 75670",Wiley College
"2035 North 550 West, Provo, UT 84604",Ameritech College of Healthcare
"1093-1/2 N Main Street, Logan, UT 84341",Beau La Reine College of Beauty
"1301 North 600 West, Logan, UT 84321",Bridgerland Technical College
"Main Campus, Provo, UT 84602",Brigham Young University
"55-220 Kulanui Street, Laie, HI 96762-1294",Brigham Young University - Hawaii
"1902 W 7800 S, West Jordan, UT 84088",Broadview University
"124 East 5770 South, Murray, UT 84107",Cameo College of Essential Beauty
"1385 West 2200 South, Suite 100, Salt Lake City, UT 84119",Certified Careers Institute
"451 E 400 N, Price, UT 84501",College of Eastern Utah
"2230 South 700 East, Salt Lake City, UT 84106",Sherman Kendall's Academy of Beauty Arts and Sciences
"10301 South 1300 East, Sandy, UT 84094",Collectiv Hair Dressing Academy
"550 East 300 South, Kaysville, UT 84037",Davis Technical College
"225 S 700 E, Saint George, UT 84770-3876",Dixie State university
"284 West 200 North, Lindon, UT 84042",Evans Hairstyling College - Lindon
"169 North 100 West, Cedar City, UT 84720",Evans Hairstyling College - Cedar City
"1028 E Tabernacle, Saint George, UT 84770",Evans Hairstyling College - Saint George
"1969 East Murray Holladay Rd, Salt Lake City, UT 84117",Paul Mitchell the School - Salt Lake City
"4062 S 4000 W, West Valley City, UT 84120",Premier Hair Academy
"5588 S Green St., Murray, UT 84123",Eagle Gate College
"411 E South Temple, Salt Lake City, UT 84111-1392",LDS Business College
"3280 West 3500 South, West Valley City, UT 84119",Everest College - West Valley
"200 N Washington Blvd, Ogden, UT 84404-4089",Ogden Weber Technical College
"150 E College Ave, Ephraim, UT 84627",Snow College
"351 West University Blvd, Cedar City, UT 84720",Southern Utah University
"1890 South 1350 West, West Haven, UT 84401",Stevens-Henager College-Ogden
"1100 E Lagoon St    124-5, Roosevelt, UT 84066",Uintah Basin Technical College
"Old Main Hill, Logan, UT 84322-1400",Utah State University
"800 W University Parkway, Orem, UT 84058-5999",Utah Valley University
"4600 South Redwood Road, Salt Lake City, UT 84123",Salt Lake Community College
"201 Presidents Circle, Salt Lake City, UT 84112-9008",University of Utah
"3750 Harrison Blvd, Ogden, UT 84408-1137",Weber State University
"1840 South 1300 East, Salt Lake City, UT 84105",Westminster College
"One College Drive, Bennington, VT 05201-6003",Bennington College
"95 North Ave, Burlington, VT 05401",Burlington College
"62 Alumni Dr, Castleton, VT 05735",Castleton University
"163 S. Willard St, P.O. Box 670, Burlington, VT 05401",Champlain College
"660 Elm Street, P.O. Box 489, Montpelier, VT 05601-0489",Community College of Vermont
"123 Pitkin Road, Plainfield, VT 05667-9432",Goddard College
"One Brennan Circle, Poultney, VT 05764-1199",Green Mountain College
"337 College Hill, Johnson, VT 05656-9898",Johnson State College
"2582 South Rd,. P.O. Box A, Marlboro, VT 05344-0300",Marlboro College
"Old Chapel, Middlebury, VT 05753",Middlebury College
"56 College Street, Montpelier, VT 05602",New England Culinary Institute
"158 Harmon Drive, Northfield, VT 05663-1004",Norwich University
"1475 Shelburne Rd, South Burlington, VT 05403-7747",O'Brien's Aveda Institute
"One Winooski Park, Colchester, VT 05439",Saint Michaels College
"Kipling Rd, P.O Box 676, Brattleboro, VT 05302",SIT
"71 Clement Road, Rutland, VT 05701-9945",College of St Joseph
"982 Mansion Drive, Bennington, VT 05201-6002",Southern Vermont College
"16 Sterling Drive, Craftsbury Common, VT 05827",Sterling College
"164 Chelsea St, P.O. Box 96, South Royalton, VT 05068-0096",Vermont Law School
"1 Main Street, P.O. Box 500, Randolph Center, VT 05061-0500",Vermont Technical College
"85 S Prospect St, Burlington, VT 05405-0160",University of Vermont
"660 Elm St, Montpelier, VT 05602",Woodbury College
"3535 Franklin Road, S.W., Unit D, Roanoke, VA 24014",Paul Mitchell the School Roanoke
"3101 Washington Avenue, Newport News, VA 23607",The Apprentice School - Newport News Shipbuilding
"215 67th Street, Virginia Beach, VA 23451",Atlantic University
"5700 Southern Blvd Ste 100, Virginia Beach, VA 23462",Advanced Technology Institute
"420 W Main St, Danville, VA 24541",Averett University
"1 College Lane, Weyers Cave, VA 24486-0080",Blue Ridge Community College
"3000 College Dr, Bluefield, VA 24605",Bluefield College
"3600 W. Broad Street Suite 190, Richmond, VA 23230-3601",Braxton School
"402 E College St, Bridgewater, VA 22812-1599",Bridgewater College
"P.O. Box 8795, Williamsburg, VA 23187-8795",College of William and Mary
"1000 Regent University Dr, Virginia Beach, VA 23464-9826",Regent University
"3506 Wards Rd, Lynchburg, VA 24502-2498",Central Virginia Community College
"134 Christendom Drive, Front Royal, VA 22630-9989",Christendom College
"1 University Place, Newport News, VA 23606",Christopher Newport University
"860 Portsmouth Blvd, Suffolk, VA 23434-3020",Suffolk Beauty Academy
"101 Elm Avenue SE, Roanoke, VA 24013",Jefferson College of Health Sciences
"1000 Dabney Drive, Clifton Forge, VA 24422-1000",Dabney S Lancaster Community College
"1008 S Main St, Danville, VA 24541-4004",Danville Community College
"721 Fairfax Avenue, Norfolk, VA 23507",Eastern Virginia Medical School
"2697 Dean Dr Ste 100, Virginia Beach, VA 23452-7431",Centura College
"One Garnand Drive, Emory, VA 24327-0947",Emory and Henry College
"1200 Park Rd, Harrisonburg, VA 22802-2462",Eastern Mennonite University
"29300 Lankford Hwy, Melfa, VA 23410",Eastern Shore Community College
"215 Ferrum Mountain Road, Ferrum, VA 24088-9000",Ferrum College
"4400 University Dr, Fairfax, VA 22030-4444",George Mason University
"2130 Germanna Highway, Locust Grove, VA 22508-2102",Germanna Community College
"College Road, Box 128, Hampden-Sydney, VA 23943-0128",Hampden-Sydney College
"100 East Queen Street, Hampton, VA 23668-0099",Hampton University
"904 Loudoun Avenue, Portsmouth, VA 23707",Hicks Academy of Beauty Culture
"7916 Williamson Rd NW, Roanoke, VA 24020",Hollins University
"6528 Indian River Road, Virginia Beach, VA 23464-3424",Indian River Beauty Academy
"1651 E Parham Road, Richmond, VA 23228",J Sargeant Reynolds Community College
"800 South Main Street, Harrisonburg, VA 22807",James Madison University
"13101 Jefferson Davis Hwy, Chester, VA 23831-5316",John Tyler Community College
"1971 University Blvd, Lynchburg, VA 24502",Liberty University
"201 High St, Farmville, VA 23909",Longwood University
"173 Skirmisher Lane, Middletown, VA 22645",Lord Fairfax Community College
"1501 Lakeside Dr, Lynchburg, VA 24501-3199",University of Lynchburg
"101 East Frederick Street, Staunton, VA 24401",Mary Baldwin University
"1301 College Ave, Fredericksburg, VA 22401-5300",University of Mary Washington
"2807 N Glebe Rd, Arlington, VA 22207-4299",Marymount University
"109 Bridge Street, Suite 200, Danville, VA 24541",Sovah Health - School of Health Professions
"3441 Mountain Empire Road, Big Stone Gap, VA 24219",Mountain Empire Community College
"1813 E Main St, Salem, VA 24153",American National University - Salem
"5251 College Drive, Dublin, VA 24084-1127",New River Community College
"1441 Crossways Blvd, Suite 105, Chesapeake, VA 23320",Sentara College of Health Sciences
"5301 East Princess Anne Road, Norfolk, VA 23502",Tidewater Tech
"700 Park Ave, Norfolk, VA 23504-8000",Norfolk State University
"4001 Wakefield Chapel Rd, Annandale, VA 22003-3796",Northern Virginia Community College
"5115 Hampton Blvd, Norfolk, VA 23529",Old Dominion University
"645 Patriot Avenue, Martinsville, VA 24112-5311",Patrick Henry Community College
"100 N College Dr, Franklin, VA 23851",Paul D Camp Community College
"430 Clairmont Court, Colonial Heights, VA 23834",Southside College of Health Sciences
"1011 Creekside Lane, Lynchburg, VA 24502",Miller-Motte Technical College - Lynchburg
"501 College Drive, Charlottesville, VA 22902-7589",Piedmont Virginia Community College
"350 S Washington St, Falls Church, VA 22046-4202",Heritage Institute
"3737 Seminary Road, Alexandria, VA 22304",Virginia Theological Seminary
"891 East Main Street, Radford, VA 24141-0672",Radford University
"3405 Candlers Mountain Road, #G-360, Lynchburg, VA 24502",Sylvain Melloul International Hair Academy
"204 Henry Street, Ashland, VA 23005-5505",Randolph-Macon College
"2500 Rivermont Ave, Lynchburg, VA 24503-1526",Randolph College
"12745 College Drive, Glenns, VA 23149-2616",Rappahannock Community College
"6300 Center Drive, Suite 100, Norfolk, VA 23502",Fortis College - Norfolk
"11301 Johnson Rd, South Prince George, VA 23805",Richard Bland College
"8550 Magellan Pkwy #1100, Richmond, VA 23227-1149",Bon Secours Memorial College of Nursing
"28 Westhampton Way, Richmond, VA 23173",University of Richmond
"316 Main Street, Newport News, VA 23601",Riverside College of Health Careers
"221 College Ln, Salem, VA 24153-3794",Roanoke College
"115 College Drive, Lawrenceville, VA 23868",Saint Paul's College
"1460 University Dr, Winchester, VA 22601-5195",Shenandoah University
"One University Hill Drive, Buena Vista, VA 24416",Southern Virginia University
"109 Campus Dr, Alberta, VA 23821",Southside Virginia Community College
"P. O. Box SVCC, 724 Community College Road, Cedar Bluffs, VA 24609",Southwest Virginia Community College
"4223 Annandale Rd, Annandale, VA 22003",Springfield Beauty Academy
"128 E Beverley St, Staunton, VA 24401",Staunton School of Cosmetology
"134 Chapel Drive, Sweet Briar, VA 24595-9998",Sweet Briar College
"99 Thomas Nelson Drive, Hampton, VA 23666",Thomas Nelson Community College
"121 College Place, Norfolk, VA 23514",Tidewater Community College
"3401 Brook Rd, Richmond, VA 23227",Union Presbyterian Seminary
"1 College Avenue, Wise, VA 24293-4400",The University of Virginia's College at Wise
"100 VHCC Drive, Abingdon, VA 24212-0828",Virginia Highlands Community College
"1013 Moore Street, Bristol, VA 24201",Virginia Intermont College
"800 Drillfield Drive, Blacksburg, VA 24601",Virginia Polytechnic Institute and State University
"3093 Colonial Ave, Roanoke, VA 24038",Virginia Western Community College
"910 W Franklin St, Richmond, VA 23284-2512",Virginia Commonwealth University
"1707 University Avenue, Charlottesville, VA 22904",University of Virginia
", Lexington, VA 24450-0304",Virginia Military Institute
"101 West Queens Way, Hampton, VA 23669",Virginia School of Hair Design
"2058 Garfield Ave, Lynchburg, VA 24501",Virginia University of Lynchburg
"One Hayden Street, Petersburg, VA 23806",Virginia State University
"1500 N Lombardy St, Richmond, VA 23220",Virginia Union University
"5817 Wesleyan Dr, Norfolk, VA 23502-5599",Virginia Wesleyan University
"7525 Tidewater Drive, Suite 200, Norfolk, VA 23505-3700","Wards Corner Beauty Academy, Inc."
"204 West Washington Street, Lexington, VA 24450-2116",Washington and Lee University
"848 Thompson Dr, Abingdon, VA 24210",Washington County Adult Skill Center
"1840 Amherst Street, Winchester, VA 22601","Winchester Medical Center, Inc."
"64 James Anderson Road, Fishersville, VA 22939-1500",Wilson Workforce and Rehabilitation Center
"1000 E Main St, Wytheville, VA 24382-3308",Wytheville Community College
"208 S Wenatchee Ave, Wenatchee, WA 98801",Beauty Academy
"2323 Elliott Ave, Seattle, WA 98121-1622",The Art Institute of Seattle
"506 23rd Street NE, Auburn, WA 98002",Northwest Aviation College
"14045 NE 20th St, Bellevue, WA 98007",Evergreen Beauty and Barber College - Bellevue
"3000 Landerholm Circle SE, Bellevue, WA 98007-6484",Bellevue College
"4192 Meridian Street, Bellingham, WA 98226-5515",Bellingham Beauty School
"3028 Lindbergh Ave, Bellingham, WA 98225-1599",Bellingham Technical College
"7662 Chanute Street, Moses Lake, WA 98837-3299",Big Bend Community College
"981 Powell Avenue, SW, Suite 200, Renton, WA 98055",Everest College - Renton
"400 East University Way, Ellensburg, WA 98926-7501",Central Washington University
"600 W Locust St, Centralia, WA 98531-4099",Centralia College
"521 Wall Street Suite 100, Seattle, WA 98121",City University of Seattle
"71 Gage Boulevard, Richland, WA 99352",Paul Mitchell The School Richland
"1800 E McLoughlin Blvd, Vancouver, WA 98663-3598",Clark College
"4500 Steilacoom Blvd SW, Lakewood, WA 98499-4098",Clover Park Technical College
"3002 Colby Avenue, Everett, WA 98201",Henry Cogswell College
"2600 N 20th Ave, Pasco, WA 99301",Columbia Basin College
"1000 Lenora Street, Seattle, WA 98121",Cornish College of the Arts
"1341 N. Northlake Way, Seattle, WA 98103",Divers Institute of Technology
"526 5th Street, Cheney, WA 99004-2496",Eastern Washington University
"20000 68th Ave W, Lynnwood, WA 98037-5912",Edmonds Community College
"2000 Tower Street, Everett, WA 98201",Everett Community College
"9930 Evergreen Way, Building Y, Everett, WA 98204",Paroba College of Cosmetology
"2700 Evergreen Pkwy NW, Olympia, WA 98505",The Evergreen State College
"214 S Sixth St, Sunnyside, WA 98944",Professional Beauty School
"W 309 Riverside Ave, Spokane, WA 99201","Glen Dow Academy of Hair Design and Salons, Inc."
"E 502 Boone Ave, Spokane, WA 99258-0001",Gonzaga University
"1620 Edward P Smith Dr, Aberdeen, WA 98520-7599",Grays Harbor College
"12401 SE 320th St, Auburn, WA 98092-3622",Green River Community College
"18336 Aurora Avenue North, Suite #103, Shoreline, WA 98133",Evergreen Beauty and Barber College
"3240 Fort Rd, Toppenish, WA 98948",Heritage University
"2400 S 240th St, Des Moines, WA 98198-9800",Highline College
"178 S. Stevens, Spokane, WA 99201",Interface College
"2901 E Mill Plain Blvd, Vancouver, WA 98661",International Air and Hospitality Academy
"14500 Juanita Drive NE, Kenmore, WA 98028",Bastyr University
"6007-A 244th Street Southwest, Mountlake Terrace, WA 98043",Gene Juarez Academy North Seattle
"1101 S Yakima Ave, Tacoma, WA 98405",Bates Technical College
"11605 132nd Avenue NE, Kirkland, WA 98034-8506",Lake Washington Institute of Technology
"1600 Maple, Longview, WA 98632-0310",Lower Columbia College
"2802 Wetmore Avenue, Everett, WA 98201",Trinity Lutheran College
"5239 S Tacoma Way, Tacoma, WA 98409",BJ's Beauty and Barber College
"9600 College Way North, Seattle, WA 98103-3599",North Seattle Community College
"4301 N Stevens, Tacoma, WA 98407-6699",Northwest Baptist Seminary
"42 N. Water Street, Port Hadlock, WA 98339",Northwest School of Wooden Boatbuilding
"5520 108th Ave NE, Kirkland, WA 98083-0579",Northwest University
"1600 Chester Avenue, Bremerton, WA 98337-1699",Olympic College
"2011 W Washington Ave., Yakima, WA 98903-1296",Perry Technical Institute
"1010 122nd St So, Tacoma, WA 98447-0003",Pacific Lutheran University
"1502 E Lauridsen Blvd, Port Angeles, WA 98362",Peninsula College
"10411 NE 4th Plain Blvd Ste 109, Vancouver, WA 98662-6303",Phagans Orchards Beauty School
"2610 Wetmore Ave, Everett, WA 98201",Puget Sound Christian College
"1500 N Warner, Tacoma, WA 98416",University of Puget Sound
"3000 NE Fourth Street, Renton, WA 98056-4195",Renton Technical College
"5300 Pacific Ave SE, Lacey, WA 98503-1297",Saint Martin's University
"6000 16th Ave SW, Seattle, WA 98106-1499",South Seattle Community College
"1701 Broadway Avenue, Seattle, WA 98122",Seattle Central Community College
"4000 NE 41st St, Building D, Suite 3, Seattle, WA 98105",Seattle Midwifery School
"3307 3rd Ave W, Seattle, WA 98119-1997",Seattle Pacific University
"901 12th Ave, Seattle, WA 98122-4340",Seattle University
"16101 Greenwood Ave N, Shoreline, WA 98133-5696",Shoreline Community College
"2405 E. College Way, Mount Vernon, WA 98273",Skagit Valley College
"2011 Mottman Rd SW, Olympia, WA 98512-6292",South Puget Sound Community College
"1810 North Greene Street, Spokane, WA 99217-5399",Spokane Community College
"3410 W Fort Geo Wright Dr, Spokane, WA 99224-5288",Spokane Falls Community College
"1224 Commerce, Longview, WA 98632-3027","Lower Columbia Enterprises, Inc. DBA Stylemasters College of Hair Design"
"6501 S 19th Street, Tacoma, WA 98466-6100",Tacoma Community College
"500 Tausick Way, Walla Walla, WA 99362-9267",Walla Walla Community College
"204 S College Ave, College Place, WA 99324-1198",Walla Walla University
"French Administration Building, Pullman, WA 99164-1009",Washington State University
"P.O. Box 351230, Seattle, WA 98195-4550",University of Washington
"1300 Fifth St, Wenatchee, WA 98801-1799",Wenatchee Valley College
"516 High St, Bellingham, WA 98225-9008",Western Washington University
"237 W Kellogg Rd, Bellingham, WA 98226",Whatcom Community College
"345 Boyer Ave, Walla Walla, WA 99362",Whitman College
"300 W Hawthorne Rd, Spokane, WA 99251",Whitworth University
"Sixteenth and Nob Hill Boulevard, Yakima, WA 98907-2520",Yakima Valley Community College
"101 College Hill Drive, Philippi, WV 26416",Alderson Broaddus University
"25429 US Highway 119 North, Belfry, KY 41514",Appalachian Beauty School
"161 College Drive, Mt. Hope, WV 25880-9554",Appalachian Bible College
"410 Neville Street, PO Box 9003, Beckley, WV 25801",Mountain State University
"500 28th St, Dunbar, WV 25064",Ben Franklin Career & Technical Education Center
"Old Main, Bethany, WV 26032",Bethany College
"219 Rock St, Bluefield, WV 24701",Bluefield State College
"HC 81, PO BOX 50-B, DANVILLE, WV",Boone County Career and Technical
"1035 Norway Ave, Huntington, WV 25705",Cabell County Career Technology Center
"210 Capitol St, Charleston, WV 25301",Charleston School of Beauty Culture
"2300 MacCorkle Avenue,  SE, Charleston, WV 25304",University of Charleston
"120 S 3rd St, Clarksburg, WV 26301",Clarksburg Beauty Academy
"Vermillion Street, P.O. Box 1000, Athens, WV 24712",Concord University
"100 Campus Dr, Elkins, WV 26241-3996",Davis & Elkins College
"1201 Locust Ave, Fairmont, WV 26554-2470",Fairmont State University
"200 High Street, Glenville, WV 26351",Glenville State College
"120 S. Linden Avenue, Clarksburg, WV 26301-2270",Human Resource Development & Employment - Stanley Technical Institute - Clarksburg
"900 Fifth Ave, Huntington, WV 25701",Huntington Junior College
"3274  Hedgesville Road, Martinsburg, WV 25401-0259",James Rumsey Technical Institute
"144 Vocational Road, Stollings, WV 25646",Ralph R Willis Career and Technical Center
"1644 Mileground, Morgantown, WV 26505",Human Resource Development and Employment Inc
"1 John Marshall Dr, Huntington, WV 25755",Marshall University
"PO Drawer V, Stadium Drive, Welch, WV 24801",McDowell County Career and Technical Center
"1397 Stafford Dr, Princeton, WV 24740",Mercer County Technical Education Center
"147 Saddle Lane, Waverly, WV 26184",Meredith Manor International Equestrian Center
"1000 Mississippi Street, Morgantown, WV 26501-6841",Monongalia County Technical Education Center
"276 Walnut St, Morgantown, WV 26505-5430",Morgantown Beauty College Inc
"Spring at 16th Street, Parkersburg, WV 26101-3993",Mountain State College
"5514 Big Tyler Road, Cross Lanes, WV 25313",Everest Institute - Cross Lanes
"120 Jackson Street, Fairmont, WV 26554",North Central WV Opportunities Industrialization Center (OIC Training Academy)
"#1 Campus View Drive, Vienna, WV 26105-8000",Ohio Valley University
"2000 Eoff Street, Wheeling, WV 26003","Ohio Valley Medical Center, Inc."
"300 Campus Dr, Parkersburg, WV 26101",West Virginia University at Parkersburg
"390 Stanaford Rd, Beckley, WV 25801",Academy of Careers and Technology
"223 W Main St, Salem, WV 26426",Salem University
"301 N. King St, Shepherdstown, WV 25443-3210",Shepherd University
"Dempsey Branch Road, Mount Gay, WV 25637",Southern West Virginia Community and Technical College
"Rte 5 Box 2, 372 Morton Avenue, Buckhannon, WV 26201",Fred W Eberle Technical Center
"400 N Lee St, Lewisburg, WV 24901",West Virginia School of Osteopathic Medicine
"Rte 25, Institute, WV 25112-1000",West Virginia State University
"PO Box 295, Route 88, West Liberty, WV 26074",West Liberty University
"59 College Ave, Buckhannon, WV 26201-2994",West Virginia Wesleyan College
"1052 Main St, Wheeling, WV 26003",West Virginia Business College - Wheeling
"1000 Virginia St E, Charleston, WV 25301",West Virginia Junior College - Charleston
"148 Willey St, Morgantown, WV 26505",West Virginia Junior College - Morgantown
"201 West King Street, Martinsburg, WV 25401",International Beauty School 4
"1704 Market St., Wheeling, WV 26003-3699",West Virginia Northern Community College
"Presidents Office Box 6201, Morgantown, WV 26506-6201",West Virginia University
"316 Washington Ave, Wheeling, WV 26003",Wheeling Jesuit University
"300 Campus Drive, Parkersburg, WV 26104",Wood County School of Practical Nursing
"3400 S 43rd  St, Milwaukee, WI 53234-3922",Alverno College
"3550 Anderson St, Madison, WI 53704",Madison Area Technical College
"744 S Webster Avenue, Green Bay, WI 54305-3400",Bellin College/ Bellin Health School of Radiologic Technology
"3201 Eaton Road, Green Bay, WI 54311",Bellin College
"700 College St, Beloit, WI 53511-5595",Beloit College
"P.O. Box 5009, 6004 County Rd G, Janesville, WI 53547-5009",Blackhawk Technical College
"1726 N. First Street, Milwaukee, WI 53212",Lakeside School of Massage Therapy
"6801 N Yates Rd, Milwaukee, WI 53217-3985",Cardinal Stritch University
"100 N East Ave, Waukesha, WI 53186",Carroll University
"2001 Alford Park Dr, Kenosha, WI 53140-1994",Carthage College
"4425 North Port Washington Road, Glendale, WI 53212-1082",Columbia College of Nursing
"12800 N. Lake Shore Dr., Mequon, WI 53097-2402",Concordia University
"7190 Elder Lane, Sun Prairie, WI 53590",Diesel Truck Driver Training School
"1000 Edgewood College Drive, Madison, WI 53711-1997",Edgewood College
"1825 N Bluemound Dr, Appleton, WI 54912-2277",Fox Valley Technical College
"3520 30th Ave, Kenosha, WI 53144-1690",Gateway Technical College
"230 South McCarthy Road, Appleton, WI 54914",Gill Tech Academy of Hair Design
"3408 Mall Drive, Eau Claire, WI 54701-7633",The Professional Hair Design Academy
"500 10th Street NW, Atlanta, GA 30332",Institute of Paper Science and Technology
"326 Pearl St, La Crosse, WI 54601",Scientific College of Beauty and Barbering
"W3718 South Drive, Plymouth, WI 53073",Lakeland University
"1290 North Ave, Cleveland, WI 53015",Lakeshore Technical College
"PO Box 599, Appleton, WI 54912",Lawrence University
"745 W. Main St., Watertown, WI 53094",Maranatha Baptist University
"45 S. National Ave., Fond du Lac, WI 54935",Marian University
"Clark Hall, Room 341 530 N. 16th Street PO Box 1881, Milwaukee, WI 53201-1881",Marquette University
"8701 Watertown Plank Rd, Milwaukee, WI 53226-0509",Medical College of Wisconsin
"500 S. Oakwood Road, Oshkosh, WI 54903-3370",Mercy Medical Center/Affinity Health System
"500 32nd St N, Wisconsin Rapids, WI 54494",Mid-State Technical College
"700 W State St, Milwaukee, WI 53233-1443",Milwaukee Area Technical College
"273 E Erie St, Milwaukee, WI 53202",Milwaukee Institute of Art and Design
"1025 N Broadway, Milwaukee, WI 53202-3109",Milwaukee School of Engineering
"235 N National Ave, Fond Du Lac, WI 54936-1940",Moraine Park Technical College
"2900 N. Menomonee River Pky, Milwaukee, WI 53222-4597",Mount Mary University
"2777 Mission Rd, Nashotah, WI 53058-9793",Nashotah House
"P.O. Box 518, Rhinelander, WI 54501-0518",Nicolet Area Technical College
"1000 West Campus Dr, Wausau, WI 54401-1899",Northcentral Technical College
"2740 W Mason St, Green Bay, WI 54307-9042",Northeast Wisconsin Technical College
"1411 Ellis Avenue, Ashland, WI 54806-3999",Northland College
"300 Seward St, Ripon, WI 54971-0248",Ripon College
"7335 South Highway 100; PO Box 429, Hales Corners, WI 53130-0429",Sacred Heart Seminary and School of Theology
"611 St. Joseph Avenue, Marshfield, WI 54449",St. Joseph's Hospital
"2900 West Oklahoma Avenue, Milwaukee, WI 53215-2901",St. Luke's Medical Center
"100 Grant St, De Pere, WI 54115-2099",Saint Norbert College
"310 Westgate Mall, Madison, WI 53711-1030",Madison Cosmetology College
"2406 S Alverno Rd, Manitowoc, WI 54220-9319",Silver Lake College
"3257 S Lake Dr, Saint Francis, WI 53235-3795",Saint Francis Seminary
"1930 Grand Avenue, Wausau, WI 54403",State College of Beauty Culture Inc
"1800 Bronson Blvd, Fennimore, WI 53809-9778",Southwest Wisconsin Technical College
"130 Second Street, P.O. Box 2021, Neenah, WI 54956-2021",Theda Clark Medical Center
"780 Regent St, Madison, WI 53708-8680",University of Wisconsin Colleges
"900 Viterbo Drive, La Crosse, WI 54601-8804",Viterbo University
"620 W Clairemont Ave, Eau Claire, WI 54701-6162",Chippewa Valley Technical College
"800 Main Street, Pewaukee, WI 53072-4601",Waukesha County Technical College
"400 Seventh Street North, PO Box C-0908, La Crosse, WI 54602-0908",Western Technical College
"800 W Main St, Whitewater, WI 53190-1790",University of Wisconsin - Whitewater
"505 Pine Ridge Drive, Shell Lake, WI 54871-8727",Wisconsin Indianhead Technical College
"9120 W Hampton Ave, Milwaukee, WI 53225",Wisconsin School of Professional Psychology
"3450 South Packerland Drive, Depere, WI 54115",Paul Mitchell the School Green Bay
"105 Garfield Avenue, Eau Claire, WI 54701",University of Wisconsin - Eau Claire
"2420 Nicolet Dr, Green Bay, WI 54311-7001",University of Wisconsin - Green Bay
"1725 State St, La Crosse, WI 54601-9959",University of Wisconsin - La Crosse
"8800 W Bluemound Rd, Milwaukee, WI 53226-4699",Wisconsin Lutheran College
"800 Algoma Blvd, Oshkosh, WI 54901",University of Wisconsin - Oshkosh
"900 Wood Road Box 2000, Kenosha, WI 53141-2000",University of Wisconsin - Parkside
"712 Broad Way Street, Menomonie, WI 54751",University of Wisconsin - Stout
"Belknap & Catlin, Superior, WI 54880-4500",University of Wisconsin - Superior
"500 Lincoln Dr, Madison, WI 53706",University of Wisconsin - Madison
